sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
4,0,0,0,0,4,1,1
0,0,0,0,0,0,2,1
4,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
1,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
5,0,0,0,0,0,1,1
0,6,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,6,5,3,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
15,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
10,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
3,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
8,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,7,1
8,0,0,0,0,0,2,1
3,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
4,0,0,0,0,4,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,1,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,2,1,1,0,0,1,1
0,0,0,0,0,0,1,1
0,5,4,2,0,0,0,1
6,0,0,0,0,6,1,1
0,0,0,0,0,0,1,1
4,0,0,0,0,4,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,10,9,5,0,0,2,1
0,0,0,0,0,0,4,1
5,0,0,0,0,0,1,1
3,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,8,7,4,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,4,3,2,0,0,2,1
0,0,0,0,0,0,2,1
1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,3,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,3,2,1,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
1,0,0,0,0,0,0,1
15,0,0,0,0,0,3,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
5,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,4,3,2,0,0,0,1
0,3,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,17,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,4,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,6,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,6,1
0,0,0,0,0,0,2,1
3,0,0,0,0,3,2,1
0,0,0,0,0,0,1,1
1,0,0,0,0,1,1,1
0,4,3,2,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
6,0,0,0,0,6,1,1
3,0,0,0,0,1,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,3,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
5,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
15,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,2,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,6,5,3,0,0,1,1
0,0,0,0,0,0,1,1
7,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,6,6,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,4,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
3,0,0,0,0,3,2,1
0,0,0,0,0,0,1,1
3,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
6,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
2,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,5,4,2,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
2,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,5,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
5,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
6,0,0,0,0,0,0,1
7,0,0,0,0,0,1,1
0,4,3,2,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
5,0,0,0,0,0,2,1
0,8,7,4,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
3,0,2,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,8,7,4,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,2,1,1,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
7,0,0,0,0,0,1,1
3,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1
2,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
1,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1
7,0,0,0,0,0,3,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,3,2,1,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
2,0,0,0,0,0,1,1
3,0,0,0,0,0,2,1
5,0,0,0,0,0,1,1
8,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,3,2,1,0,0,2,1
0,0,0,0,0,0,1,1
2,0,0,0,0,2,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,1
8,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,4,3,2,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,2,1,1,0,0,0,1
0,4,259,2,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,3,1
0,0,0,0,0,0,2,1
1,0,0,0,0,1,2,1
4,0,0,0,0,4,2,1
0,0,0,0,0,0,2,1
6,6,6,6,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1
7,0,0,0,0,7,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
